資格取得日,社員番号,社員名
20181214,10143,宮崎　勝子
20181219,10404,上林　卓也
20181228,10069,小酒井　さやか
20181229,10104,臼井　憲二郎
20190105,10235,吉澤　知恵美
20190114,10168,西村　隆太
20190115,10255,栗生　奈美恵
20190117,10186,金井　光男
20190126,10014,武居　佳泰
20190202,10544,戸谷　俊幸
20190203,10078,白鳥　裕晶
20190209,10123,山澄　公子
20190217,10463,仲村　和佳美
20190222,10177,河本　美晴
20190226,10045,野々垣　真衣
20190307,10322,垣谷　寿一
20190314,10518,糟谷　敏太郎
20190320,10502,西片　健作
20190322,10530,松村　俊宏
20190331,10514,柳沢　一正
20190406,10032,田畑　憲吾
20190411,10221,上里　百香
20190419,10133,坂井　美和子
20190425,10239,小栗　孝美
20190427,10241,杉原　貴子
20190505,10073,遠入　文子
20190508,10084,宮崎　憲勇
20190514,10555,沢田　祥子
20190515,10513,柏原　文映
20190517,10095,青柳　亜実
20190519,10446,松沢　慶
20190523,10359,廣瀬　智津子
20190528,10183,丸開　理香
20190531,10106,青嶋　秀明
20190607,10170,福元　安幸
20190610,10013,三濃川　由香
20190619,10028,永浜　成和
20190624,10465,長坂　佐保子
20190626,10510,高瀬　紀明
20190628,10240,杉原　英人
20190706,10002,上林　正
20190714,10165,妹尾　巳奈戸
20190723,10040,菊川　教夫
20190723,10286,杉本　謙一
20190723,10230,須賀　和義
